customer_id,first_name,last_name,phone_number,date_of_birth
1,Miquela,Berryman,966-815-4978,06/20/1969
2,Theobald,Cuberley,407-798-9009,12/23/1993
3,Dalila,Ipsgrave,584-974-6328,05/08/1973
4,Torie,Gregoletti,544-114-5202,09/15/1999
5,Ashlan,Pavia,907-250-5808,10/31/1958
6,Devina,Sharma,328-880-1708,01/03/1981
7,Sherlock,Merrywether,167-708-3776,11/19/1965
8,Art,Georgievski,957-971-3093,01/10/1997
9,Lazar,Click,891-122-4813,12/12/1978
10,Loraine,Pach,150-878-4337,04/19/1961
11,Katya,Stickel,847-132-8651,11/20/1981
12,Hedvig,Kettell,870-277-2786,05/02/1978
13,Christiano,Boldry,910-852-9287,02/13/1964
14,Cesare,Attle,611-549-4195,04/21/1965
15,Rodger,Finlan,289-611-9121,12/14/1979
16,Christiana,Meers,472-617-3827,03/10/1989
17,Whitney,Leas,972-740-7265,05/06/1964
18,Mel,Wardhough,292-794-9659,11/04/1974
19,Margarette,Dovinson,675-555-5427,03/29/1957
20,Talia,Prestige,981-125-8884,08/08/1977
21,Isacco,Hordell,436-582-4101,09/28/1981
22,Taffy,Vashchenko,533-426-9937,07/31/1983
23,Charlene,Ailmer,149-865-2560,05/25/1989
24,Nicolai,Semple,306-395-4966,09/17/1983
25,Al,Burgan,334-927-0230,12/11/1991
26,Jenni,Manneville,581-484-2526,05/24/1965
27,Major,Parfitt,384-620-1521,01/02/1954
28,Dianemarie,Sparshott,996-408-9227,03/27/1997
29,Latisha,Suett,208-937-8395,07/19/1960
30,Edd,Biggam,697-652-1251,12/28/1958
31,Malina,Klaggeman,692-767-9971,04/21/1967
32,Carmen,Axe,694-116-5266,01/04/1961
33,Marjorie,Stevani,884-730-7014,09/09/1969
34,Evie,Rentcome,401-589-5116,06/05/1977
35,Mattie,Castano,699-118-8489,03/29/1994
36,Tobey,Dowd,220-748-2809,09/22/1995
37,Killy,Huxtable,310-925-2609,04/29/1954
38,Colette,Palia,394-582-9004,09/03/1953
39,Deck,Simmen,952-675-6713,08/24/1964
40,Ravi,Vause,660-137-6896,01/21/1967
41,Wilfred,Guidi,330-916-5130,10/24/1968
42,Allys,Adriani,513-535-8130,06/18/1993
43,Vanya,Blackaller,247-240-3823,03/19/1968
44,Leyla,Bainton,941-627-9577,02/14/1985
45,Constanta,Harrald,705-881-4342,02/02/1952
46,Brade,Finnie,449-739-7490,04/05/1984
47,Javier,Purry,248-872-4490,11/28/1987
48,Reuben,Boller,668-801-6974,08/12/1983
49,Sherman,Jays,287-834-0081,06/08/1956
50,Dorella,Hayesman,355-814-1460,10/17/1951
51,Blinny,Croyden,948-835-7243,01/01/1990
52,Barton,Eassom,684-717-2252,10/01/1975
53,Marlon,Enrico,397-855-6444,10/20/1985
54,Rodrigo,Bowfin,789-944-1000,06/16/1966
55,Benjamen,Cozens,800-151-5321,02/11/1953
56,Geoffrey,Blackbourn,401-442-7389,04/16/1984
57,Richmound,De Cleen,803-555-8797,12/12/1991
58,Heather,Stollery,473-695-4292,02/22/1963
59,Faustine,Koene,889-626-0494,08/08/1952
60,Silvio,Godwin,755-204-6080,01/13/1981
61,Tommie,Haskins,943-799-8524,03/07/1969
62,Larry,Domican,821-308-0057,04/05/1951
63,Hollyanne,Waterson,978-605-5875,11/15/1981
64,Austin,Gipp,698-709-8841,11/15/1982
65,Rollin,Landal,337-676-6579,08/07/1962
66,Cherida,Neubigin,395-767-3583,03/09/1971
67,Tate,McKim,359-704-7492,06/17/1955
68,Nester,Geratasch,993-549-5987,10/12/1968
69,Loree,O' Borne,857-152-1230,08/18/1950
70,Ryan,Bolingbroke,545-568-8055,10/09/1958
71,Flossie,Coates,223-407-5918,07/19/1986
72,Haven,Wace,468-839-2466,03/07/1996
73,Idelle,Sturmey,726-496-5686,08/16/1971
74,Colby,Gingle,642-259-4666,02/06/1980
75,Katrinka,Frears,366-559-2584,08/18/1977
